template,tags
"What went wrong when I switched from _ to _ (and what went right)",new-speaker early-career mid-speaker
"I tried _ so you don't have to",new-speaker early-career mid-speaker
"The time I accidentally _",new-speaker early-career
"I thought _ would be easy, but then _",new-speaker early-career
"What actually happens when you _",new-speaker early-career mid-speaker
"My first attempt at _",new-speaker early-career
"I built _ and learned _",new-speaker early-career
"The unexpected lesson from working with _",new-speaker early-career mid-speaker
"Why _ kept breaking (and how I finally fixed it)",new-speaker early-career mid-speaker
"The bug that refused to die: _",mid-speaker early-career
"Everything was working until _",new-speaker early-career mid-speaker
"The mystery of the _ error",new-speaker early-career
"I spent _ hours debugging _",new-speaker early-career
"It wasn't _, it was actually _",mid-speaker early-career
"When _ broke production",mid-speaker senior-dev
"The strangest bug I've seen in _",mid-speaker early-career senior-dev
"Things I wish I knew before starting _",new-speaker early-career
"What surprised me about _",new-speaker early-career
"From zero to _",new-speaker early-career
"Learning _ the hard way",new-speaker early-career
"My path into _",new-speaker early-career
"What finally made _ click for me",new-speaker early-career
"Understanding _ without losing your mind",new-speaker early-career
"A beginner's journey into _",new-speaker early-career
"_ vs _: what I learned",mid-speaker early-career
"I switched from _ to _ and here's what happened",new-speaker early-career mid-speaker
"Choosing between _ and _",mid-speaker early-career
"Why I stopped using _",mid-speaker early-career senior-dev
"What _ does better than _",mid-speaker early-career
"Testing _ against _",mid-speaker early-career senior-dev
"What happens if you build _ using _",mid-speaker early-career
"I tried building _ in a weekend",new-speaker early-career mid-speaker
"Can you actually use _ for _?",new-speaker early-career mid-speaker
"I replaced _ with _",mid-speaker early-career senior-dev
"I automated _ and it changed _",mid-speaker early-career
"Pushing _ to its limits",mid-speaker senior-dev
"The day _ finally worked",new-speaker early-career
"The moment I understood _",new-speaker early-career
"The feature that looked simple but wasn't: _",mid-speaker early-career senior-dev
"Why _ took longer than expected",mid-speaker early-career senior-dev
"What I learned from rewriting _",mid-speaker senior-dev
"The hidden complexity of _",mid-speaker early-career senior-dev
"_ explained like you're new to it",new-speaker early-career
"What _ actually does",new-speaker early-career
"Breaking down _",new-speaker early-career
"How _ works behind the scenes",new-speaker early-career mid-speaker
"Demystifying _",new-speaker early-career mid-speaker
"Making sense of _",new-speaker early-career
"I let _ decide my architecture",new-speaker early-career mid-speaker
"I tried to fix _ and made it worse",new-speaker early-career
"How _ humbled me",new-speaker early-career
"The rabbit hole of _",new-speaker early-career mid-speaker
"I said ""yes"" to _ and here's what happened",new-speaker early-career
"My relationship with _",new-speaker early-career
"The good, the bad, and the weird of _",new-speaker early-career mid-speaker
"I underestimated _",new-speaker early-career
"The talk I didn't expect to give about _",new-speaker early-career mid-speaker
"Why everyone struggles with _",new-speaker early-career
"My weird experience with _",new-speaker early-career
"The truth about working with _",new-speaker early-career mid-speaker
"If you're new to _, this is for you",new-speaker early-career
"Don't make my mistake with _",new-speaker early-career
"How I learned _ by building _",new-speaker early-career
"_ for the _ developer",mid-speaker early-career senior-dev
"How _ is secretly just _ in disguise",mid-speaker early-career senior-dev
"Using _ to solve a problem nobody asked about",mid-speaker early-career
"The unexpected connection between _ and _",mid-speaker early-career senior-dev
"How _ changed the way I think about _",mid-speaker early-career senior-dev
